observation,site,beetle,visits,wild,managed,samples,visit/flower/min,crop,year
1,Wanatah,3,4,1,3,3,1.333333333,watermelon,2019
1,Wanatah,5,1,1,0,2,0.5,watermelon,2019
1,Wanatah,7,1,1,0,1,1,watermelon,2019
2,columbia,3,2,1,1,2,1,watermelon,2019
2,columbia,7,1,1,0,1,1,watermelon,2019
3,Wanatah,3,4,4,0,4,1,watermelon,2019
3,Wanatah,4,1,1,0,1,1,watermelon,2019
3,Wanatah,5,4,4,0,5,0.8,watermelon,2019
3,Wanatah,7,1,1,0,3,0.333333333,watermelon,2019
1,Wanatah,0,4,0,4,3,1.333333333,watermelon,2019
2,columbia,0,24,16,8,9,2.666666667,watermelon,2019
3,Wanatah,0,13,6,7,6,2.166666667,watermelon,2019
1,Wanatah,1,4,1,3,4,1,watermelon,2019
1,Wanatah,2,8,1,7,7,1.142857143,watermelon,2019
2,columbia,1,3,1,2,3,1,watermelon,2019
2,columbia,2,6,0,6,4,1.5,watermelon,2019
3,Wanatah,1,3,2,1,3,1,watermelon,2019
3,Wanatah,2,1,1,0,1,1,watermelon,2019
