observation,visits,wild,managed,bee/flower/min,beetles/quadrat
1,18,8,10,0.75,0.166666667
1,17,0,17,1.133333333,0
1,15,8,7,0.75,0
1,8,0,8,0.4,0.2
1,33,23,10,1.178571429,0
2,29,7,22,1.208333333,0.125
2,13,8,5,1.083333333,0.5
2,6,2,4,0.461538462,0.384615385
2,11,4,7,0.916666667,0.166666667
2,8,8,0,0.5,0.3125
3,2,2,0,0.285714286,0.857142857
3,33,8,25,1.064516129,0
3,9,9,0,0.818181818,0.272727273
3,23,20,3,0.92,0.12
3,20,16,4,1.176470588,0
1,15,6,9,0.75,0
1,35,6,29,1.346153846,0.076923077
1,23,12,11,0.851851852,0.037037037
1,40,12,28,1.538461538,0.076923077
1,16,5,11,0.8,0.1
2,34,8,26,1.259259259,0.074074074
2,18,2,16,0.818181818,0
2,16,12,4,0.888888889,0
2,17,14,3,0.772727273,0.090909091
2,17,17,0,0.85,0.1
3,2,2,0,0.25,0.5
3,9,9,0,0.75,0.25
3,11,8,3,0.6875,0.1875
3,18,17,1,0.818181818,0.090909091
3,23,20,3,1.352941176,0.117647059
1,43,24,19,1.228571429,0
1,26,6,20,1.083333333,0.166666667
1,22,12,10,0.785714286,0
1,26,11,15,1.181818182,0.090909091
1,17,10,7,1,0.058823529
2,28,10,18,0.933333333,0
2,10,5,5,0.625,0.1875
2,8,8,0,0.727272727,0.272727273
2,12,5,7,0.666666667,0.111111111
2,11,11,0,0.6875,0.125
3,7,6,1,0.4375,0.125
3,8,4,4,0.8,0.6
3,12,6,6,0.857142857,0.071428571
3,12,7,5,0.75,0.1875
3,12,8,4,0.857142857,0.214285714
1,23,13,10,0.766666667,0
1,2,2,0,0.142857143,0
1,24,14,10,0.96,0
1,46,17,29,1.314285714,0.057142857
1,38,19,19,1.461538462,0.038461538
2,46,21,25,1.095238095,0.047619048
2,21,18,3,0.75,0.035714286
2,16,10,6,0.8,0.1
2,23,15,8,0.741935484,0.064516129
2,23,19,4,0.851851852,0.074074074
3,25,9,16,0.961538462,0
3,15,15,0,1,0.333333333
3,23,10,13,0.851851852,0
3,5,5,0,0.384615385,0.076923077
3,23,21,2,1.277777778,0.055555556
